"","data_source","bibliographicCitation","type","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","taxonomicStatus","acceptedScientificName","scientificNameAuthorship","dayIdentified","monthIdentified","verbatimLatitude","verbatimLongitude","yearIdentified","country"
"96095","gbif","","PhysicalObject","","","US","Botany","NMNH Extant Specimen Records","PRESERVED_SPECIMEN","3475877","213","M. A. Costa, J. Ribeiro, P. A. Assunçao & E. C. Pereira","","1995-04-10 00:00:00","1995","4","10","10 Apr 1995","Solo argiloso, terreno molhado e com muito foliço.","","BR","Amazonas","","","Reserva Florestal Ducke. Manaus-Itacoatiara, km 26. Floresta de Plato.","","","-2.8833","-59.9667",NA,"","Acevedo-Rodríguez, P., (BOT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",NA,"","Paullinia subcordata Benth. ex Radlk.","Sapindaceae","Paullinia","SPECIES","SYNONYM","Paullinia rugosa Benth. ex Radlk.","Benth. ex Radlk.",NA,NA,NA,NA,NA,NA
"12875","gbif","","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15556","","NY","NY","The New York Botanical Garden Herbarium (NY)","PRESERVED_SPECIMEN","01008702","4080","I. Vélez","","1955-06-07 00:00:00","1955","6","7","07 Jun 1955","","","PR","Loíza","","","","","","18.41768","-65.91433",NA,"","I. Vélez",NA,"","Paullinia pinnata L.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia pinnata L.","L.",NA,NA,NA,NA,NA,NA
"52100","gbif","http://www.tropicos.org/Specimen/2104173","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15859","","MO","MO","Tropicos Specimen Data","PRESERVED_SPECIMEN","2104173","von Wedel 596","H. von Wedel","","1940-09-06 00:00:00","1940","9","6","","","","PA","Bocas del Toro","","","Water Valley, vicinity of Chiriquí Lagoon.","","","9.245","-82.38333",NA,"","Tom Croat",NA,"","Paullinia pterocarpa Triana & Planch.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia pterocarpa Triana & Planch.","Triana & Planch.",NA,NA,NA,NA,NA,NA
"41584","gbif","","","Plantae","Atta","INBio","Plantae","Plantae of Costa Rica (INBio)","PRESERVED_SPECIMEN","4001500","","Juan Francisco Morales Quirós; Michael H. Grayum ; Gregorio Dauphin ; Maria M. Chavarría","","2003-08-27 00:00:00","2003","8","27","","","","CR","Guanacaste","La Cruz","Santa Elena","Islas Murcielago. Isla San Jose.","","","10.85833","-85.91667",NA,"","Morales Quirós, Juan Francisco",NA,"","Serjania schiedeana Schltdl.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania schiedeana Schltdl.","Schltdl.",NA,NA,NA,NA,NA,NA
"123529","gbif","","Collection","","","Cenargen","CEN","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","PRESERVED_SPECIMEN","42860","7002","Lídio Coradin","Frutos com alas brancas.","1984-08-27 00:00:00","1984","8","27","","","","BR","Mt","","BARRA DO BUGRES","Cidade de Barra do Bugres, beira do rio Paraguai.","","",NA,NA,NA,"","B. M. T. Walter","2019-02-01","","Serjania caracasana (Jacq.) Willd.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania caracasana (Jacq.) Willd.","(Jacq.) Willd.",NA,NA,NA,NA,NA,NA
"106541","gbif","","","","","","Botany","Naturalis Biodiversity Center (NL) - Botany","PRESERVED_SPECIMEN","WAG.1384088","Breteler, FJ  4438","Breteler FJ","","1965-01-28 00:00:00","1965","1","28","","","","VE","","","","State of Barinas. Near Barinitas.","","",NA,NA,NA,"","",NA,"","Urvillea ulmacea Kunth","Sapindaceae","Urvillea","SPECIES","ACCEPTED","Urvillea ulmacea Kunth","Kunth",NA,NA,NA,NA,NA,NA
"111710","gbif","","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15556","","NY","NY","The New York Botanical Garden Herbarium (NY)","PRESERVED_SPECIMEN","01159410","8128","W. A. Archer","","1943-01-02 00:00:00","1943","1","2","02 Jan 1943","","","BR","Pará","Belém","","South woods of the I.A.N., Belém","","","-1.438098","-48.44475",NA,"","",NA,"","Cardiospermum grandiflorum Sw.","Sapindaceae","Cardiospermum","SPECIES","ACCEPTED","Cardiospermum grandiflorum Sw.","Sw.",NA,NA,NA,NA,NA,NA
"12950","gbif","","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15556","","NY","NY","The New York Botanical Garden Herbarium (NY)","PRESERVED_SPECIMEN","01139827","12314","W. R. Anderson","","1978-03-28 00:00:00","1978","3","28","28 Mar 1978","","","BR","Rondônia","","","Along Rio dos Pacaás Novos, just above and below the first cachoeira.","","ca. 722 ft","-10.97944","-63.76933",NA,"","T. D. Pennington","1979-01-01","","Paullinia venosa Radlk.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia venosa Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
"15079","gbif","","Collection","","","UNICAMP","UEC","UEC - Herbário da Universidade Estadual de Campinas","PRESERVED_SPECIMEN","59729","362","Tiritan, O; Paiva, M","Liana, flores brancas, com frutos.","1990-12-20 00:00:00","1990","12","20","","","","BR","Mato Grosso do Sul","","Selvíria","Fazenda de Ensino e Pesquisa da UNESP - ""Campus"" de Ilha Solteira.","","",NA,NA,NA,"","Ferrucci, MS","2003-01-01","","Serjania ovalifolia Radlk.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania ovalifolia Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
"94278","gbif","","","","","MPEG","HERBMG","Museu Paraense Emilio Goeldi Herbarium","PRESERVED_SPECIMEN","MG138753","157","Kubitzki","","1979-09-05 00:00:00","1979","9","5","","","","BR","Amazonas","","","Amazonas","","",NA,NA,NA,"","",NA,"","Paullinia caloptera Radlk.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia caloptera Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
